game_id,away_starter,home_starter,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs,home_sp_era_actual,home_sp_fip_actual,home_sp_war_actual,home_sp_whip_actual,home_sp_gs
20010417SKHT0,이승호,최상덕,3.55,4.78,5.37,1.43,33.0,4.76,4.98,1.28,1.41,11.0
20010417LGLT0,장문석,박석진,7.74,6.53,-0.33,1.98,10.0,2.98,3.72,4.57,1.21,11.0
20010417HHHD0,조규수,테일러,4.24,5.03,2.8,1.63,21.0,4.75,5.24,2.14,1.71,27.0
20010418SKHT0,김원형,김주철,4.37,4.65,2.34,1.37,25.0,9.0,9.43,-0.09,1.86,1.0
20010418SSOB0,이강철,조계현,6.07,3.76,0.25,1.42,4.0,5.28,4.72,0.84,1.52,18.0
20010418LGLT0,이승호,손민한,12.74,8.57,-0.55,2.72,1.0,4.21,4.49,3.58,1.46,29.0
20010418HHHD0,송진우,김수경,3.84,4.44,3.6,1.44,24.0,5.2,5.49,1.06,1.56,18.0
20010419SKHT0,김건한,성영재,7.17,6.68,-0.36,1.59,8.0,5.61,4.68,0.25,1.36,0.0
20010419SSOB0,이용훈,정진용,5.53,4.94,0.27,1.65,16.0,5.13,5.03,0.8,1.59,13.0
20010419LGLT0,발데스,김영수,4.65,5.31,2.31,1.54,29.0,6.27,5.76,-0.08,1.76,14.0
20010419HHHD0,한용덕,박장희,3.56,3.44,3.92,1.27,23.0,5.53,5.57,0.59,1.45,12.0
20010420OBHH0,이혜천,박정진,3.62,4.68,2.68,1.58,10.0,4.74,4.45,0.8,1.47,6.0
20010420SKSS0,에르난데스,임창용,3.89,4.08,5.4,1.42,34.0,3.9,4.52,4.68,1.25,29.0
20010420HTLG0,오철민,해리거,,,,,,4.62,4.48,2.67,1.49,28.0
20010420HDLT0,전준호,김장현,5.09,4.6,1.79,1.51,25.0,5.44,4.23,0.31,1.73,3.0
20010421HTLG0,루이스,안병원,,,,,,7.39,5.74,-0.72,1.85,16.0
20010421OBHH0,파머,이상목,9.0,6.99,-0.22,2.18,3.0,4.9,4.11,0.69,1.52,12.0
