year,team,average_batter_age,runs_per_game,games,plate_appearances,at_bats,runs,hits,doubles,triples,homeruns,RBI,stolen_bases,caught_stealing,bases_on_balls,strikeouts,batting_average,OBP,SLG,OPS,total_bases,GDP,HBP,sacrifice_hits,sacrifice_flies,IBB
2021,SSG Landers,30.9,5.26,143,5698,4864,752,1268,203,13,184,709,100.0,43.0,634,1045,0.261,0.354,0.421,0.775,2049,104,93,55,52,23.0
2021,Doosan Bears,29.0,5.13,143,5606,4867,733,1306,234,17,109,693,81.0,37.0,556,938,0.268,0.35,0.391,0.741,1901,137,86,45,52,12.0
2021,Lotte Giants,29.0,5.06,143,5689,4978,723,1384,263,10,106,693,60.0,31.0,576,963,0.278,0.356,0.399,0.755,1985,114,53,37,45,18.0
2021,Kiwoom Heroes,27.1,5.01,143,5610,4839,716,1250,243,28,90,666,97.0,26.0,589,1048,0.258,0.347,0.376,0.722,1819,92,93,34,55,17.0
2021,KT Wiz,29.4,4.97,143,5581,4773,711,1263,217,11,104,666,112.0,46.0,639,1041,0.265,0.356,0.38,0.736,1814,105,58,68,43,27.0
2021,Samsung Lions,30.0,4.9,143,5505,4798,701,1280,203,17,130,659,116.0,44.0,538,893,0.267,0.343,0.398,0.741,1907,98,55,47,67,21.0
2021,NC Dinos,29.0,4.87,143,5492,4772,697,1244,202,17,168,665,101.0,46.0,507,1086,0.261,0.343,0.416,0.759,1984,92,111,59,43,14.0
2021,LG Twins,28.4,4.56,143,5496,4721,652,1185,208,11,109,619,92.0,34.0,586,919,0.251,0.342,0.369,0.711,1742,102,93,51,45,16.0
2021,Hanwha Eagles,25.6,4.17,143,5460,4651,596,1104,211,17,80,551,109.0,56.0,632,1278,0.237,0.335,0.342,0.676,1589,110,74,54,49,14.0
2021,Kia Tigers,27.9,3.97,143,5546,4800,567,1193,183,21,65,545,73.0,31.0,595,914,0.249,0.338,0.336,0.674,1613,118,73,41,37,16.0
2020,NC Dinos,29.6,6.17,144,5832,5102,888,1483,258,28,187,845,101.0,38.0,529,997,0.291,0.366,0.462,0.828,2358,106,104,46,51,21.0
2020,Doosan Bears,30.1,5.67,144,5776,5046,816,1477,263,20,125,778,88.0,37.0,551,796,0.293,0.365,0.427,0.792,2155,132,68,38,73,20.0
2020,KT Wiz,28.5,5.65,144,5762,5047,813,1432,238,21,163,767,106.0,50.0,554,1097,0.284,0.358,0.436,0.794,2201,104,52,64,45,20.0
2020,LG Twins,29.5,5.57,144,5681,4999,802,1384,253,29,149,760,83.0,39.0,509,969,0.277,0.349,0.429,0.778,2142,115,75,49,49,21.0
2020,Kiwoom Heroes,26.7,5.27,144,5721,4945,759,1332,254,25,127,713,113.0,27.0,608,1030,0.269,0.355,0.408,0.762,2017,107,73,43,52,16.0
2020,Lotte Giants,29.9,5.21,144,5669,4958,750,1366,252,6,131,711,90.0,31.0,569,875,0.276,0.354,0.408,0.762,2023,148,55,39,48,18.0
2020,Kia Tigers,28.8,5.03,144,5642,4937,724,1355,224,13,130,692,47.0,25.0,535,957,0.275,0.351,0.404,0.755,1995,114,69,63,38,10.0
2020,Samsung Lions,28.2,4.85,144,5574,4923,699,1317,211,12,129,658,132.0,49.0,486,990,0.268,0.338,0.394,0.732,1939,117,62,50,53,10.0
2020,SK Wyverns,29.5,4.4,144,5502,4839,634,1212,177,17,143,595,81.0,45.0,511,981,0.251,0.329,0.383,0.711,1852,112,69,49,34,18.0
2020,Hanwha Eagles,28.7,3.83,144,5483,4862,551,1189,195,12,79,523,51.0,36.0,462,1163,0.245,0.32,0.338,0.658,1645,119,89,45,25,9.0
2019,Kiwoom Heroes,26.5,5.42,144,5658,4991,780,1405,251,38,112,741,110.0,33.0,514,943,0.282,0.354,0.414,0.768,2068,122,69,36,48,13.0
2019,Doosan Bears,29.5,5.11,144,5670,4913,736,1364,235,31,84,691,102.0,38.0,563,799,0.278,0.355,0.389,0.744,1913,117,72,39,83,16.0
2019,NC Dinos,28.7,4.68,144,5631,4968,674,1383,249,26,128,639,87.0,45.0,456,880,0.278,0.345,0.416,0.762,2068,126,83,64,60,14.0
2019,SK Wyverns,30.8,4.55,144,5541,4919,655,1290,218,14,117,622,118.0,50.0,462,966,0.262,0.334,0.384,0.718,1887,92,87,35,38,20.0
2019,KT Wiz,28.2,4.51,144,5582,4965,650,1375,187,20,103,615,104.0,44.0,475,975,0.277,0.344,0.385,0.728,1911,113,52,45,45,15.0
2019,LG Twins,29.5,4.45,144,5536,4928,641,1316,233,15,94,604,108.0,47.0,434,962,0.267,0.333,0.378,0.711,1861,117,77,49,48,17.0
2019,Samsung Lions,28.8,4.32,144,5533,4866,622,1245,230,26,122,598,107.0,42.0,478,976,0.256,0.329,0.389,0.718,1893,107,78,58,53,15.0
2019,Hanwha Eagles,28.9,4.22,144,5482,4882,607,1250,223,16,88,562,105.0,51.0,441,1090,0.256,0.324,0.362,0.686,1769,112,70,44,45,12.0
2019,Kia Tigers,28.1,4.2,144,5505,4874,605,1286,248,19,76,567,87.0,42.0,497,919,0.264,0.336,0.369,0.706,1800,108,58,31,45,13.0
2019,Lotte Giants,29.3,4.01,144,5488,4919,578,1231,214,22,90,545,65.0,31.0,429,1085,0.25,0.316,0.358,0.674,1759,108,65,35,40,12.0
2018,Doosan Bears,28.6,6.56,144,5870,5176,944,1601,284,30,191,898,96.0,23.0,496,1016,0.309,0.376,0.487,0.862,2518,112,92,43,63,16.0
2018,Kia Tigers,30.3,6.01,144,5744,5036,865,1487,258,22,170,823,88.0,37.0,503,905,0.295,0.367,0.457,0.824,2299,135,99,56,50,27.0
2018,SK Wyverns,29.7,5.76,144,5682,4992,829,1403,234,13,233,791,108.0,39.0,483,1079,0.281,0.356,0.473,0.83,2362,103,119,54,34,6.0
2018,Nexen Heroes,25.8,5.73,144,5780,5141,825,1481,288,19,165,787,101.0,33.0,472,1208,0.288,0.355,0.448,0.802,2302,93,85,32,50,25.0
2018,Lotte Giants,30.1,5.7,144,5764,5130,821,1484,289,17,203,792,68.0,32.0,471,1157,0.289,0.356,0.471,0.827,2416,124,81,45,37,22.0
2018,LG Twins,29.2,5.47,144,5665,5070,788,1487,299,12,148,740,71.0,38.0,418,1001,0.293,0.353,0.445,0.797,2254,125,75,51,51,14.0
2018,Samsung Lions,29.8,5.39,144,5766,5109,776,1471,241,29,146,732,116.0,52.0,468,1034,0.288,0.355,0.432,0.787,2208,115,87,57,45,14.0
2018,KT Wiz,29.0,5.26,144,5605,5026,757,1382,264,13,206,721,80.0,57.0,464,1109,0.275,0.34,0.456,0.796,2290,103,46,43,26,14.0
2018,Hanwha Eagles,29.2,5.06,144,5539,4972,729,1369,249,14,151,668,118.0,64.0,420,1098,0.275,0.341,0.422,0.763,2099,113,88,31,28,17.0
2018,NC Dinos,28.4,4.58,144,5488,4895,660,1280,233,18,143,629,82.0,35.0,427,1081,0.262,0.329,0.404,0.733,1978,115,88,35,43,15.0
2017,Kia Tigers,30.3,6.29,144,5841,5142,906,1554,292,29,170,868,76.0,34.0,499,891,0.302,0.37,0.47,0.84,2414,117,89,55,56,19.0
2017,Doosan Bears,28.4,5.9,144,5833,5102,849,1499,270,20,178,812,69.0,33.0,541,960,0.294,0.369,0.459,0.828,2343,120,95,48,47,19.0
2017,Nexen Heroes,26.2,5.48,144,5712,5098,789,1479,267,30,141,748,70.0,34.0,468,1066,0.29,0.357,0.437,0.794,2229,129,83,21,42,15.0
2017,NC Dinos,29.2,5.46,144,5790,5079,786,1489,277,19,149,739,93.0,32.0,471,979,0.293,0.365,0.443,0.808,2251,119,130,62,48,19.0
